sentiment,text,user
"neutral","RT @StratcomCentre: Antonov 225 Mriya after Russia came and went\n\n#StopRussia https://t.co/o0ebyq43bk","ebiten_2025"
"negative","RT @ukraine_world: ‼ ️Russian military opened a bazaar for the sale of loot in Belarus\n\nSource: Central Intelligence Agency of Ukraine\n\n▪️I…","stephenalbert11"
"neutral","⚡️ \"It is necessary to demolish Ukraine and Poland from the face of the Earth\", - Russian citizens about the war in… https://t.co/lomeH1M79y","TourismTwit"
"negative","RT @ukraine_world: ‼ ️Russian military opened a bazaar for the sale of loot in Belarus\n\nSource: Central Intelligence Agency of Ukraine\n\n▪️I…","loveraiser"
"neutral","RT @StratcomCentre: Antonov 225 Mriya after Russia came and went\n\n#StopRussia https://t.co/o0ebyq43bk","bomwata"
"neutral","RT @uacrisis: 🇺🇦 The flag of Ukraine was solemnly raised above the Chornobyl NPP and the anthem was played.\n\nSource: Energoatom\n\n#stoprussi…","people_NOTcorps"
"positive","“Good Saturday morning 🇺🇦\n\n“SBU special forces send the Russian occupiers to their native Zaporizhzhya 24/7, withou… https://t.co/XZXsKWCXoy","SteppeWest"
"negative","RT @notonlyputin: Reaction to the video that shows the ruins of Mariupol, documented on March 17.\n\n💬The comment on the second photo says, „…","22Slava_Ukraine"
"neutral","RT @qirimhaber: 🔴Rusya'da (38 gündür Ukrayna'yı bombalayan) Su #savaş uçaklarını üreten fabrikanın genel müdürü Yuriy Slyusar, #Rusya'nın #…","SavasORHAN52"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","EL62278131"
"positive","RT @Mariana_Betsa: Energodar now. Russian invaders shell the peaceful civilians in the city centre  #StopRussia #StandWithUkraine https://t…","Mati17708274"
"neutral","@worldonalert #StopRussia #StopRussianWarCrimes #NATOMustDoMore #PreventGenocide https://t.co/NQuyXjfydf","soskroba1"
"negative","RT @notonlyputin: 💬«Fuck it. All the same sping already, it's time to fertilize the ground»\n\n💬«Helicopters shot down near Mariupol could ha…","sashkiin"
"negative","RT @ukraine_world: ‼ ️Russian military opened a bazaar for the sale of loot in Belarus\n\nSource: Central Intelligence Agency of Ukraine\n\n▪️I…","maryxma"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","HtsSlt"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","Sol_Vita_2022"
"neutral","RT @notonlyputin: Comment under the YouTube video\n\n💬 “Who cares about Ukrainians? Even if tomorrow the nuclear bomb would be dropped on the…","22Slava_Ukraine"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","TrumpluvsObama"
"neutral","The police detained the Russian for correcting the inscription on the packaging of the sausage. So that everyone ca… https://t.co/uBPoGbbofC","dnyadaniil"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","runawayrene"
"neutral","RT @armyinformcomua: Everything is going according to the plan. Somewhere in taiga. \nBy Oleksiy Kustovsky\n\n#груз200 #StopRussia #StopPutin…","tashamin2"
"neutral","#StopRussia #IStandWithUkraine 🇺🇦 https://t.co/e7jNH1cEjY","WayneSisk1"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","deljrich"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","ksbrooker"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","ConstanceBens14"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","bardelotnzl"
"neutral","RT @verkhovna_rada: ⚡️Бородянка Київської області після обстрілів російськими терористами. Відео місцевих жителів.\n#StopRussia \n#RussiaTerr…","sergey_slv"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","billygnichols"
"neutral","RT @dmitry_gordon: На Чернобыльской АЭС снова подняли флаг Украины\n#Чернобыль #Украина #Россия #агрессияРоссии #вторжениеРоссии #stoprussia…","morda23183611"
"positive","RT @DefenceU: 153 killed Ukrainian children will never be able to taste chocolate again. We call on @ritter_sport to leave russia and stop…","7VAMPIR"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","McweeneySandra"
"positive","RT @OTregub: A deer with deep burns rescued by local residents after Russian shelling near Kyiv on March 30, 2022. Picture taken on April 1…","Katja_SVK"
"neutral","RT @NPU_GOV_UA: Ігор Клименко: Ми посилюємо поліцейську присутність в Ірпені  \nhttps://t.co/nxY5LEIsYb\n\n#stoprussia https://t.co/NRrVgjQXND","AARON57542259"
"neutral","ธงของประเทศยูเครนถูกยกขึ้นในอาณาเขตของโรงไฟฟ้านิวเคลียร์Chernobyl !!\n\n#ยูเครน #รัสเซียยูเครน #RussiaUkraine… https://t.co/ZYBkj4GpVV","YugBamBaby"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","eric_paquet01"
"neutral","RT @Skripka_show: Подписчики прислали…\nМенять аву?\nДа - ретвит, нет - лайк!\n#StopRussia https://t.co/Z53XDKgpUh","Stas52354021"
"negative","RT @ua_parliament: Since February 24 Russia has committed endless horde war crimes in #Ukraine. And they have not gone unnoticed by the wor…","or_otta"
"neutral","#StopRussia #IStandWithUkraine 🇺🇦 https://t.co/RQTddWxrug","WayneSisk1"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","changnoi2018"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","davidjmcarson1"
"neutral","RT @StratcomCentre: Antonov 225 Mriya after Russia came and went\n\n#StopRussia https://t.co/o0ebyq43bk","nyao_ayu"
"neutral","RT @dmitry_gordon: Освобожденные после обмена украинские военные уже направляются к своим родным\n#Украина #Россия #агрессияРоссии #вторжени…","Samadhi911"
"positive","RT @hwag_ucmc: ❗️#Zaporizhzhia region, #Energodar \n\nToday Energodar shuddered at the powerful explosions and shots. They were heard after a…","TrumpluvsObama"
"positive","RT @OTregub: A deer with deep burns rescued by local residents after Russian shelling near Kyiv on March 30, 2022. Picture taken on April 1…","mikebilotti"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","EustacePinfold"
"negative","RT @olex_scherba: This Russian military truck with washing machines and other “trophies” didn’t make it too far.\n\n#StandWithUkraine #StopRu…","mslindblom"
