sentiment,text,user
"neutral","RT @s_sebbane: Bravo à mon directeur de la redaction de @RCJRADIO sur le terrain depuis trois jours ainsi qu a tous les journalistes qui ri…","leonidas_kalo"
"neutral","RT @JominiW: 1/ Ukrainian Theater of War, Day 37: Today’s update focuses on each of the Strategic Fronts in the UTW. BLUF, Ukraine has defe…","MHinkkanen"
"neutral","Podolyak on war with Russia: There’ll be no ‘Afghanization’ https://t.co/yeXU9P3Yuu #UkraineRussianWar #Ukraine… https://t.co/vpJjmOqnWl","knittingknots"
"neutral","#IStandWithUkraine #StopPutin #StopPutinNow #UkraineUnderAttack #UkraineWar #StopRussia \n#Russian Liberation for yo… https://t.co/wkWLQpM3t2","SanjivMenezes"
"positive","Dozens of bodies of civilians lie right on the road. Bucha and Irpen. Wild cruelty of the aggressor.\n#UkraineWar… https://t.co/fGeycHwAHJ","CiviliansSave"
"negative","RT @YoshiYamamo_to: \"Slava Ukraini\" No Nazis in Ukraine! Military card of the Armed Forces of Ukraine of the 79th brigade\n#Ukraine   #Ukrai…","marous222"
"positive","RT @MStognieva: 🇺🇦🕊the whole world helped Ukraine, it fills my people with even greater courage and will to win! Thank you 🙏🥺 I started a n…","LizRunnionArt"
"neutral","RT @JominiW: 1/ Ukrainian Theater of War, Day 37: Today’s update focuses on each of the Strategic Fronts in the UTW. BLUF, Ukraine has defe…","frog_of_war"
"neutral","Look at the outskirts of the city of Kyiv, Russia has wreaked havoc everywhere,\nRussia has also converted the airpo… https://t.co/neucA4nTJ5","sujitnewslive"
"positive","RT @ADEYMARE: The absence of compassion from the Int'l Community towards the suffering of #Tigray|ans has become even more evident after th…","hdush_meri"
"neutral","RT @JominiW: 1/ Ukrainian Theater of War, Day 37: Today’s update focuses on each of the Strategic Fronts in the UTW. BLUF, Ukraine has defe…","gandy"
"neutral","RT @kinga_valentino: #Ukrainian animal rescue list. The list includes socials and donation information for rescues in #Ukraine. It’s a coll…","xoYoungLove97"
"positive","RT @UKRWarSitRep: The General Staff of the Armed Forces of Ukraine reports that Russian troops are striving to reach the administrative bor…","GeneralStrike16"
"neutral","RT @S_vivat: Украина🇺🇦 ВСУ продвигаются оттесняя агрессора с территории Украины. Вдоль дорог много уничтоженных танков и техники российских…","VladBering"
"negative","RT @DaveKeating: It really feels like we’ve come out of today’s ##EUChinaSummit with relations seeming even worse than coming in.\n\nOne of t…","PiazzaRelax"
"neutral","RT @JominiW: 1/ Ukrainian Theater of War, Day 37: Today’s update focuses on each of the Strategic Fronts in the UTW. BLUF, Ukraine has defe…","clausmat1"
"neutral","RT @fabien_barrau: #StopWar #StopWarInUkraine #UkraineWar #UkraineRussiaWar #Ukraine️  #PutinWarCrimes #PutinsWar #PutinIsaWarCriminal http…","TheHatman666"
"neutral","RT @MateuszSobiera3: Bucha and Irpen. Unspeakable brutality of the orcs. Bodies of civilians lying just in the middle of the road. This is…","wireless_step"
"neutral","RT @ColdWar_2022: 🇺🇦🇷🇺 | GUERRA UCRANIA - RUSIA\n\n🔴 Impresionante, los rusos dejan botados sus vehículos militares por cientos !!! hasta un…","zeusj"
"positive","RT @ADEYMARE: The absence of compassion from the Int'l Community towards the suffering of #Tigray|ans has become even more evident after th…","sabasabina5"
"neutral","RT @ironchampion73: Гетьманскі пензлі #Україна #Украина #StopRussia #UkraineRussiaWar #UkraineWar  #Ukraine #RussiaUkraineWar #StopPutin ht…","Ahma_CP"
