sentiment,text,user
"negative","Gaan fuck jouself, Poetin!\n(Afrikaans)\n\n#UkraineUnderAttack #IStandWithUkraine #UkraineRussiaWar #FuckPutin","FuckPutinBot"
"neutral","Mine kuradi ise, Putin!\n(Estonian)\n\n#RussianWarCrimes #UkraineRussiaWar #UkraineUnderAttack #PutinWarCrimes","FuckPutinBot"
"neutral","¡Vete a la mierda, PUTIN!\n(Spanish)\n\n#StopRussianAggression #PutinWarCrimes #StopPutin #UkraineUnderAttack","FuckPutinBot"
"positive","RT @Gerashchenko_en: The legendary sapper, #Patron-the-dog, came to St. Mykola Hospital in #Lviv yesterday to support the war-torn children…","Mon4akon4a"
"neutral","RT @GaetanoVallini: giugno la prima pagina di oggi #osservatoreromano\n#PapaFrancesco \n#UkraineUnderAttack #Ukraine #PeaceInUkraine #Ucraina…","monda66"
"neutral","Отидете на себе си, Путин!\n(Bulgarian)\n\n#UkraineUnderAttack #RussianWarCrimes #StopRussianAggression #RussiaInvadedUkraine","FuckPutinBot"
"neutral","Idź się pieprzyć, Putin!\n(Polish)\n\n#IStandWithUkraine #PutinsWar #UkraineRussiaWar #UkraineUnderAttack","FuckPutinBot"
"neutral","Concordo! #UkraineUnderAttack https://t.co/DN9WFrsnk1","Birba731"
"neutral","לך לזיין את עצמך, פוטין!\n(Hebrew)\n\n#UkraineUnderAttack #Ukraine #StandWithUkraine #PutinsWar","FuckPutinBot"
"positive","RT @Gerashchenko_en: The legendary sapper, #Patron-the-dog, came to St. Mykola Hospital in #Lviv yesterday to support the war-torn children…","dagmarmangold4"
"neutral","Dzień 101. Ukraina walczy i zwycięża walcząc na froncie ługańskim pod Siewierodonieckiem oraz na froncie chersoński… https://t.co/ZnszDExhk8","RobertBatko1"
"neutral","\"Es wundert also nicht, dass Russland wütend auf diese Lieferung reagiert, ...\"\n@UAWeapons #UkraineUnderAttack https://t.co/RgaOB56o1V","Wolfman2k"
"neutral","Eikite save, Putinas!\n(Lithuanian)\n\n#RussiaWarCrimes #StopPutin #UkraineUnderAttack #StandWithUkraine","FuckPutinBot"
"neutral","Idź się pieprzyć, Putin!\n(Polish)\n\n#StopRussianAggression #RussiaInvadedUkraine #Ukraine #UkraineUnderAttack","FuckPutinBot"
"neutral","너 자신, 푸시 빌어 먹을!\n(Korean)\n\n#UkraineUnderAttack #Ukraine #IStandWithUkraine #RussianWarCrimes","FuckPutinBot"
"neutral","去他媽的，普京！\n(Chinese Traditional)\n\n#IStandWithUkraine #FuckPutin #UkraineUnderAttack #StandWithUkraine","FuckPutinBot"
